Parameter,Value
Start_Year,1919
End_Year,2150
years_until_full_canopy,20
folN_init,2.5
folN_end,2
folN_change_start_age,20
folN_change_end_age,70
MAT,5.5
age_start_NPP_decline,30
wood_mort_rate_a,40
wood_mort_rate_b,75
snag_fall_rate_a,22.5
snag_fall_rate_b,6.9
snag_decay_rate_a,100
snag_decay_rate_b,16.7
dwd_decay_rate_a,25
dwd_decay_rate_b,8.3
wood_perc_N,0.001088
bark_perc_N,0.006863
critical_CN,90
wood_N_decay_a,1088
wood_N_decay_b,0.2301
wood_N_decay_k,0.0223
bark_N_decay_a,6863
bark_N_decay_b,0.0568
bark_N_decay_k,0.0162

